Beverage,Size,Beverage Category,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),hot_cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Tall,Frappucino Blended Crème,Coconut,No Whip,354 mL,170,2.5,2.0,0.0,0,160,37,0,36,0.2,0.0,0.0,0.0,0.0,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Tall,Frappucino Blended Crème,Coconut,Whip,354 mL,250,10.0,7.0,0.2,30,160,39,0,38,1.0,0.1,0.0,0.02,0.0,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Nonfat,No Whip,473 mL,240,0.1,0.1,0.0,8,230,56,0,55,5.0,0.08,0.0,0.15,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Nonfat,Whip,473 mL,360,11.0,7.0,0.3,45,240,60,0,57,5.0,0.2,0.0,0.2,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Whole,No Whip,473 mL,270,3.0,1.5,0.1,10,240,56,0,55,5.0,0.08,0.0,0.15,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Whole,Whip,473 mL,380,14.0,8.0,0.4,55,250,59,0,57,5.0,0.2,0.0,0.15,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Whole,No Whip,473 mL,280,4.5,2.5,0.1,15,230,56,0,55,4.0,0.06,0.0,0.15,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Whole,Whip,473 mL,400,16.0,10.0,0.5,55,240,59,0,57,5.0,0.2,0.0,0.15,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Soy,No Whip,473 mL,250,2.5,0.3,0.0,0,220,54,1,51,4.0,0.06,0.0,0.15,0.08,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Soy,Whip,473 mL,370,13.0,7.0,0.3,40,230,57,1,54,5.0,0.2,0.0,0.2,0.08,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Coconut,No Whip,473 mL,240,3.0,3.0,0.0,0,220,54,0,52,0.3,0.0,0.0,0.0,0.0,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,Frappucino Blended Crème,Coconut,Whip,473 mL,360,14.0,10.0,0.3,40,240,57,0,56,1.0,0.15,0.0,0.02,0.0,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Nonfat,No Whip,709 mL,320,0.2,0.1,0.0,5,300,73,0,71,7.0,0.1,0.0,0.2,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Nonfat,Whip,709 mL,430,11.0,7.0,0.3,45,310,76,0,73,7.0,0.25,0.0,0.25,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Whole,No Whip,709 mL,350,4.0,2.0,0.1,15,310,73,0,71,7.0,0.1,0.0,0.2,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Whole,Whip,709 mL,460,15.0,9.0,0.5,55,320,76,0,73,7.0,0.25,0.0,0.25,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Whole,No Whip,709 mL,370,7.0,4.0,0.2,20,300,73,0,71,6.0,0.1,0.0,0.2,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Whole,Whip,709 mL,490,18.0,11.0,0.5,60,310,76,0,73,7.0,0.2,0.0,0.25,0.0,0.0,cold,Non Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Soy,No Whip,709 mL,330,3.0,0.4,0.0,0,290,69,1,66,6.0,0.08,0.0,0.25,0.1,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Soy,Whip,709 mL,440,14.0,7.0,0.3,40,300,73,1,68,6.0,0.2,0.0,0.25,0.1,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Coconut,No Whip,709 mL,310,4.5,4.0,0.0,0,290,69,0,67,0.5,0.0,0.0,0.0,0.0,0.0,cold,Vegan
Vanilla Bean Crème Frappuccino® Blended Crème,Venti®,Frappucino Blended Crème,Coconut,Whip,709 mL,430,15.0,11.0,0.3,40,300,73,0,70,1.0,0.15,0.0,0.02,0.0,0.0,cold,Vegan
Caramel Apple Spice,Short,Hot Chocolate and Other,No Milk,No Whip,236 mL,140,0.0,0.0,0.0,0,10,35,0,33,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Caramel Apple Spice,Short,Hot Chocolate and Other,No Milk,Whip,236 mL,210,6.0,3.5,0.2,20,20,40,0,37,0.3,0.06,0.0,0.0,0.0,0.0,hot,Vegan
Caramel Apple Spice,Tall,Hot Chocolate and Other,No Milk,No Whip,354 mL,210,0.0,0.0,0.0,0,15,53,0,49,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Caramel Apple Spice,Tall,Hot Chocolate and Other,No Milk,Whip,354 mL,300,7.0,4.5,0.2,25,30,59,0,55,0.4,0.08,0.0,0.02,0.0,0.0,hot,Vegan
Caramel Apple Spice,Grande,Hot Chocolate and Other,No Milk,No Whip,473 mL,280,0.0,0.0,0.0,0,20,70,0,65,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Caramel Apple Spice,Grande,Hot Chocolate and Other,No Milk,Whip,473 mL,380,8.0,5.0,0.2,30,35,76,0,71,0.5,0.1,0.0,0.02,0.0,0.0,hot,Vegan
Caramel Apple Spice,Venti®,Hot Chocolate and Other,No Milk,No Whip,591 mL,360,0.0,0.0,0.0,0,25,89,0,83,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Caramel Apple Spice,Venti®,Hot Chocolate and Other,No Milk,Whip,591 mL,450,8.0,5.0,0.2,30,40,95,0,88,0.5,0.1,0.0,0.02,0.0,0.0,hot,Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Nonfat,No Whip,236 mL,140,1.5,1.0,0.0,5,70,26,2,23,7.0,0.1,0.0,0.2,0.15,15.0,hot,Non Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Nonfat,Whip,236 mL,200,6.0,4.0,0.2,20,95,29,2,24,8.0,0.1,0.02,0.15,0.2,15.0,hot,Non Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Whole,No Whip,236 mL,170,4.5,3.0,0.1,15,80,26,2,22,7.0,0.1,0.0,0.2,0.15,15.0,hot,Non Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Whole,Whip,236 mL,230,10.0,6.0,0.3,30,85,28,2,24,7.0,0.15,0.0,0.2,0.2,15.0,hot,Non Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Whole,No Whip,236 mL,190,7.0,4.0,0.2,15,70,26,2,22,7.0,0.08,0.0,0.2,0.15,15.0,hot,Non Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Whole,Whip,236 mL,250,12.0,7.0,0.3,35,80,28,2,24,7.0,0.15,0.0,0.2,0.2,15.0,hot,Non Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Soy,No Whip,236 mL,150,3.5,1.0,0.0,0,60,23,3,18,6.0,0.06,0.0,0.2,0.25,15.0,hot,Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Soy,Whip,236 mL,210,9.0,4.5,0.2,20,65,25,3,20,6.0,0.1,0.0,0.2,0.25,15.0,hot,Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Coconut,No Whip,236 mL,140,5.0,4.5,0.0,0,70,23,2,20,2.0,0.0,0.0,0.0,0.15,15.0,hot,Vegan
Hot Chocolate,Short,Hot Chocolate and Other,Coconut,Whip,236 mL,200,10.0,8.0,0.2,20,75,26,2,22,2.0,0.06,0.0,0.02,0.2,15.0,hot,Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Nonfat,No Whip,354 mL,210,2.0,1.0,0.0,5,110,37,3,32,11.0,0.15,0.0,0.3,0.25,20.0,hot,Non Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Nonfat,Whip,354 mL,280,8.0,5.0,0.2,30,115,40,3,34,11.0,0.25,0.0,0.3,0.25,20.0,hot,Non Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Whole,No Whip,354 mL,250,7.0,4.5,0.2,20,125,37,3,32,11.0,0.15,0.0,0.3,0.25,20.0,hot,Non Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Whole,Whip,354 mL,320,13.0,8.0,0.4,45,130,39,3,34,11.0,0.2,0.02,0.3,0.25,20.0,hot,Non Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Whole,No Whip,354 mL,280,10.0,6.0,0.3,25,110,37,3,32,10.0,0.1,0.0,0.3,0.25,20.0,hot,Non Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Whole,Whip,354 mL,350,16.0,10.0,0.4,50,120,39,3,34,11.0,0.2,0.0,0.3,0.25,20.0,hot,Non Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Soy,No Whip,354 mL,220,6.0,1.5,0.0,0,95,32,4,25,9.0,0.1,0.0,0.3,0.4,20.0,hot,Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Soy,Whip,354 mL,290,12.0,5.0,0.2,25,100,35,4,28,9.0,0.15,0.0,0.3,0.4,20.0,hot,Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Coconut,No Whip,354 mL,210,8.0,7.0,0.0,0,110,33,3,28,3.0,0.0,0.0,0.02,0.25,20.0,hot,Vegan
Hot Chocolate,Tall,Hot Chocolate and Other,Coconut,Whip,354 mL,280,14.0,10.0,0.2,25,115,36,3,31,3.0,0.06,0.0,0.02,0.25,20.0,hot,Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Nonfat,No Whip,473 mL,270,2.5,1.5,0.0,5,140,47,4,41,14.0,0.2,0.0,0.4,0.35,25.0,hot,Non Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Nonfat,Whip,473 mL,350,10.0,6.0,0.2,35,150,51,4,43,15.0,0.3,0.0,0.4,0.35,25.0,hot,Non Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Whole,No Whip,473 mL,320,9.0,6.0,0.3,25,160,47,4,41,14.0,0.2,0.02,0.4,0.35,25.0,hot,Non Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Whole,Whip,473 mL,400,16.0,10.0,0.5,55,170,50,4,43,14.0,0.25,0.02,0.4,0.35,25.0,hot,Non Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Whole,No Whip,473 mL,360,13.0,8.0,0.3,35,150,47,4,41,13.0,0.15,0.0,0.35,0.35,25.0,hot,Non Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Whole,Whip,473 mL,440,20.0,12.0,0.5,60,150,50,4,43,14.0,0.25,0.0,0.35,0.35,25.0,hot,Non Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Soy,No Whip,473 mL,280,8.0,2.0,0.0,0,125,41,5,32,12.0,0.15,0.0,0.4,0.5,25.0,hot,Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Soy,Whip,473 mL,360,15.0,7.0,0.2,25,130,44,5,35,12.0,0.2,0.0,0.4,0.5,25.0,hot,Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Coconut,No Whip,473 mL,270,10.0,9.0,0.0,0,140,42,4,35,4.0,0.0,0.0,0.02,0.35,25.0,hot,Vegan
Hot Chocolate,Grande,Hot Chocolate and Other,Coconut,Whip,473 mL,350,17.0,13.0,0.2,25,150,46,4,38,4.0,0.08,0.0,0.02,0.35,30.0,hot,Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Nonfat,No Whip,591 mL,350,3.5,2.0,0.0,10,180,63,5,55,18.0,0.25,0.0,0.5,0.4,35.0,hot,Non Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Nonfat,Whip,591 mL,430,10.0,6.0,0.2,35,190,66,5,58,18.0,0.35,0.0,0.5,0.45,35.0,hot,Non Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Whole,No Whip,591 mL,420,11.0,7.0,0.4,35,200,62,5,55,17.0,0.25,0.02,0.5,0.4,35.0,hot,Non Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Whole,Whip,591 mL,500,19.0,12.0,0.5,60,210,66,5,57,18.0,0.3,0.02,0.5,0.45,35.0,hot,Non Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Whole,No Whip,591 mL,470,17.0,10.0,0.4,45,190,62,5,55,17.0,0.2,0.0,0.45,0.4,35.0,hot,Non Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Whole,Whip,591 mL,550,24.0,14.0,0.5,70,190,66,5,57,17.0,0.3,0.0,0.45,0.45,35.0,hot,Non Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Soy,No Whip,591 mL,370,9.0,2.5,0.0,0,160,55,7,44,15.0,0.15,0.0,0.5,0.6,35.0,hot,Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Soy,Whip,591 mL,450,17.0,7.0,0.2,25,170,58,7,46,15.0,0.25,0.0,0.5,0.6,35.0,hot,Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Coconut,No Whip,591 mL,360,13.0,11.0,0.0,0,180,57,5,48,4.0,0.0,0.0,0.02,0.4,35.0,hot,Vegan
Hot Chocolate,Venti®,Hot Chocolate and Other,Coconut,Whip,591 mL,430,20.0,15.0,0.2,25,190,60,5,51,5.0,0.08,0.0,0.04,0.45,35.0,hot,Vegan
Lemonade,Tall,Hot Chocolate and Other,No Milk,,354 mL,80,0.0,0.0,0.0,0,0,21,0,21,0.1,0.0,0.25,0.0,0.0,0.0,hot,Vegan
Lemonade,Grande,Hot Chocolate and Other,No Milk,,473 mL,110,0.0,0.0,0.0,0,1,29,0,29,0.2,0.0,0.3,0.0,0.0,0.0,hot,Vegan
Lemonade,Venti®,Hot Chocolate and Other,No Milk,,709 mL,150,0.0,0.0,0.0,0,1,41,0,41,0.2,0.0,0.45,0.0,0.0,0.0,hot,Vegan
Milk,Tall,Hot Chocolate and Other,Nonfat,,354 mL,140,0.3,0.2,0.0,10,170,20,0,20,14.0,0.25,0.0,0.45,0.0,0.0,hot,Non Vegan
Milk,Tall,Hot Chocolate and Other,Whole,,354 mL,200,8.0,4.0,0.2,30,190,19,0,19,13.0,0.2,0.02,0.45,0.0,0.0,hot,Non Vegan
Milk,Tall,Hot Chocolate and Other,Whole,,354 mL,240,13.0,7.0,0.4,40,170,19,0,19,13.0,0.2,0.0,0.4,0.0,0.0,hot,Non Vegan
Milk,Tall,Hot Chocolate and Other,Soy,,354 mL,160,6.0,1.0,0.0,0,150,13,2,10,11.0,0.15,0.0,0.45,0.2,0.0,hot,Vegan
Milk,Tall,Hot Chocolate and Other,Coconut,,354 mL,130,9.0,8.0,0.0,0,160,13,0,13,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Milk,Grande,Hot Chocolate and Other,Nonfat,,473 mL,180,0.4,0.3,0.0,10,220,26,0,26,18.0,0.3,0.0,0.6,0.02,0.0,hot,Non Vegan
Milk,Grande,Hot Chocolate and Other,Whole,,473 mL,260,10.0,5.0,0.3,40,250,25,0,25,17.0,0.3,0.0,0.6,0.0,0.0,hot,Non Vegan
Milk,Grande,Hot Chocolate and Other,Whole,,473 mL,320,17.0,10.0,0.5,55,230,25,0,25,17.0,0.25,0.0,0.5,0.02,0.0,hot,Non Vegan
Milk,Grande,Hot Chocolate and Other,Soy,,473 mL,210,8.0,1.0,0.0,0,200,17,2,13,15.0,0.2,0.0,0.6,0.25,0.0,hot,Vegan
Milk,Grande,Hot Chocolate and Other,Coconut,,473 mL,180,11.0,11.0,0.0,0,210,18,0,17,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Milk,Venti®,Hot Chocolate and Other,Nonfat,,709 mL,250,0.5,0.4,0.0,15,310,37,0,37,25.0,0.45,0.0,0.8,0.02,0.0,hot,Non Vegan
Milk,Venti®,Hot Chocolate and Other,Whole,,709 mL,370,15.0,7.0,0.4,60,350,36,0,36,24.0,0.4,0.02,0.8,0.02,0.0,hot,Non Vegan
Milk,Venti®,Hot Chocolate and Other,Whole,,709 mL,450,24.0,14.0,0.5,75,320,36,0,36,23.0,0.35,0.0,0.8,0.02,0.0,hot,Non Vegan
Milk,Venti®,Hot Chocolate and Other,Soy,,709 mL,300,12.0,1.5,0.0,0,280,24,3,18,21.0,0.3,0.0,0.9,0.4,0.0,hot,Vegan
Milk,Venti®,Hot Chocolate and Other,Coconut,,709 mL,250,16.0,15.0,0.0,0,290,25,0,23,2.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Skinny Hot Chocolate,Short,Hot Chocolate and Other,Nonfat,,236 mL,80,1.0,0.5,0.0,5,85,12,2,8,7.0,0.1,0.0,0.2,0.3,0.0,hot,Non Vegan
Skinny Hot Chocolate,Tall,Hot Chocolate and Other,Nonfat,,354 mL,130,1.5,1.0,0.1,5,125,18,3,13,11.0,0.15,0.0,0.3,0.45,0.0,hot,Non Vegan
Skinny Hot Chocolate,Grande,Hot Chocolate and Other,Nonfat,,473 mL,170,1.5,1.0,0.1,5,160,24,4,17,14.0,0.2,0.0,0.4,0.6,0.0,hot,Non Vegan
Skinny Hot Chocolate,Venti®,Hot Chocolate and Other,Nonfat,,591 mL,210,2.0,1.5,0.1,10,210,30,5,21,18.0,0.25,0.0,0.5,0.7,0.0,hot,Non Vegan
Steamed Apple Juice,Short,Hot Chocolate and Other,No Milk,,236 mL,120,0.0,0.0,0.0,0,10,30,0,27,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Steamed Apple Juice,Tall,Hot Chocolate and Other,No Milk,,354 mL,170,0.0,0.0,0.0,0,15,44,0,39,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Steamed Apple Juice,Grande,Hot Chocolate and Other,No Milk,,473 mL,220,0.0,0.0,0.0,0,20,55,0,50,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Steamed Apple Juice,Venti®,Hot Chocolate and Other,No Milk,,591 mL,280,0.0,0.0,0.0,0,25,69,0,62,0.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Steamed Milk,Short,Hot Chocolate and Other,Nonfat,,236 mL,70,0.2,0.1,0.0,5,85,10,0,10,7.0,0.1,0.0,0.25,0.0,0.0,hot,Non Vegan
Steamed Milk,Short,Hot Chocolate and Other,Whole,,236 mL,100,4.0,2.0,0.1,15,95,10,0,10,7.0,0.1,0.0,0.2,0.0,0.0,hot,Non Vegan
Steamed Milk,Short,Hot Chocolate and Other,Whole,,236 mL,120,7.0,4.0,0.2,20,90,10,0,10,6.0,0.1,0.0,0.2,0.0,0.0,hot,Non Vegan
Steamed Milk,Short,Hot Chocolate and Other,Soy,,236 mL,80,3.0,0.4,0.0,0,75,6,1,5,5.0,0.08,0.0,0.2,0.1,0.0,hot,Vegan
Steamed Milk,Short,Hot Chocolate and Other,Coconut,,236 mL,70,5.0,4.5,0.0,0,85,7,0,7,0.5,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Steamed Milk,Tall,Hot Chocolate and Other,Nonfat,,354 mL,110,0.2,0.2,0.0,5,130,15,0,15,10.0,0.2,0.0,0.35,0.0,0.0,hot,Non Vegan
Steamed Milk,Tall,Hot Chocolate and Other,Whole,,354 mL,160,6.0,3.0,0.2,25,150,15,0,15,10.0,0.15,0.02,0.35,0.0,0.0,hot,Non Vegan
Steamed Milk,Tall,Hot Chocolate and Other,Whole,,354 mL,190,10.0,6.0,0.3,30,135,15,0,15,10.0,0.15,0.0,0.3,0.0,0.0,hot,Non Vegan
Steamed Milk,Tall,Hot Chocolate and Other,Soy,,354 mL,120,4.5,0.5,0.0,0,110,9,1,7,8.0,0.1,0.0,0.35,0.15,0.0,hot,Vegan
Steamed Milk,Tall,Hot Chocolate and Other,Coconut,,354 mL,110,7.0,7.0,0.0,0,130,11,0,11,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Steamed Milk,Grande,Hot Chocolate and Other,Nonfat,,473 mL,140,0.3,0.2,0.0,10,170,20,0,20,14.0,0.25,0.0,0.45,0.0,0.0,hot,Non Vegan
Steamed Milk,Grande,Hot Chocolate and Other,Whole,,473 mL,200,8.0,4.0,0.2,30,190,19,0,19,13.0,0.25,0.02,0.45,0.0,0.0,hot,Non Vegan
Steamed Milk,Grande,Hot Chocolate and Other,Whole,,473 mL,250,13.0,8.0,0.4,40,170,19,0,19,13.0,0.2,0.0,0.4,0.0,0.0,hot,Non Vegan
Steamed Milk,Grande,Hot Chocolate and Other,Soy,,473 mL,150,6.0,1.0,0.0,0,150,12,2,9,11.0,0.15,0.0,0.45,0.2,0.0,hot,Vegan
Steamed Milk,Grande,Hot Chocolate and Other,Coconut,,473 mL,150,9.0,9.0,0.0,0,170,15,0,14,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Steamed Milk,Venti®,Hot Chocolate and Other,Nonfat,,591 mL,170,0.4,0.3,0.0,10,220,25,0,25,17.0,0.3,0.0,0.6,0.02,0.0,hot,Non Vegan
Steamed Milk,Venti®,Hot Chocolate and Other,Whole,,591 mL,260,10.0,5.0,0.3,40,240,25,0,25,17.0,0.3,0.02,0.6,0.0,0.0,hot,Non Vegan
Steamed Milk,Venti®,Hot Chocolate and Other,Whole,,591 mL,310,17.0,10.0,0.5,50,220,25,0,25,16.0,0.25,0.0,0.5,0.02,0.0,hot,Non Vegan
Steamed Milk,Venti®,Hot Chocolate and Other,Soy,,591 mL,200,8.0,1.0,0.0,0,190,16,2,12,14.0,0.2,0.0,0.6,0.25,0.0,hot,Vegan
Steamed Milk,Venti®,Hot Chocolate and Other,Coconut,,591 mL,180,12.0,11.0,0.0,0,220,18,0,17,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Vanilla Steamer,Short,Hot Chocolate and Other,Nonfat,,236 mL,100,0.2,0.1,0.0,5,80,19,0,19,6.0,0.1,0.0,0.2,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Short,Hot Chocolate and Other,Whole,,236 mL,130,4.0,2.0,0.1,15,90,19,0,19,6.0,0.1,0.0,0.2,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Short,Hot Chocolate and Other,Whole,,236 mL,150,6.0,3.5,0.2,20,80,19,0,19,6.0,0.1,0.0,0.2,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Short,Hot Chocolate and Other,Soy,,236 mL,110,3.0,0.4,0.0,0,70,15,1,14,5.0,0.08,0.0,0.2,0.1,0.0,hot,Vegan
Vanilla Steamer,Short,Hot Chocolate and Other,Coconut,,236 mL,110,4.5,4.0,0.0,0,80,16,0,16,0.5,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Vanilla Steamer,Tall,Hot Chocolate and Other,Nonfat,,354 mL,160,0.2,0.2,0.0,5,120,29,0,29,10.0,0.2,0.0,0.3,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Tall,Hot Chocolate and Other,Whole,,354 mL,200,6.0,3.0,0.2,25,135,28,0,28,10.0,0.15,0.0,0.3,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Tall,Hot Chocolate and Other,Whole,,354 mL,230,9.0,5.0,0.3,30,125,28,0,28,9.0,0.15,0.0,0.3,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Tall,Hot Chocolate and Other,Soy,,354 mL,170,4.5,0.5,0.0,0,105,23,1,21,8.0,0.1,0.0,0.3,0.15,0.0,hot,Vegan
Vanilla Steamer,Tall,Hot Chocolate and Other,Coconut,,354 mL,160,7.0,6.0,0.0,0,125,25,0,24,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Vanilla Steamer,Grande,Hot Chocolate and Other,Nonfat,,473 mL,200,0.3,0.2,0.0,10,160,38,0,38,13.0,0.25,0.0,0.4,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Grande,Hot Chocolate and Other,Whole,,473 mL,270,7.0,4.0,0.2,30,180,37,0,37,12.0,0.2,0.02,0.4,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Grande,Hot Chocolate and Other,Whole,,473 mL,310,12.0,7.0,0.4,40,160,37,0,37,12.0,0.2,0.0,0.4,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Grande,Hot Chocolate and Other,Soy,,473 mL,220,6.0,0.5,0.0,0,135,30,1,27,10.0,0.15,0.0,0.4,0.2,0.0,hot,Vegan
Vanilla Steamer,Grande,Hot Chocolate and Other,Coconut,,473 mL,210,9.0,8.0,0.0,0,160,32,0,32,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
Vanilla Steamer,Venti®,Hot Chocolate and Other,Nonfat,,591 mL,260,0.4,0.3,0.0,10,200,48,0,47,16.0,0.3,0.0,0.5,0.02,0.0,hot,Non Vegan
Vanilla Steamer,Venti®,Hot Chocolate and Other,Whole,,591 mL,340,10.0,5.0,0.3,40,230,47,0,47,16.0,0.25,0.02,0.5,0.0,0.0,hot,Non Vegan
Vanilla Steamer,Venti®,Hot Chocolate and Other,Whole,,591 mL,390,16.0,9.0,0.5,50,210,47,0,47,15.0,0.25,0.0,0.5,0.02,0.0,hot,Non Vegan
Vanilla Steamer,Venti®,Hot Chocolate and Other,Soy,,591 mL,280,7.0,1.0,0.0,0,170,38,2,35,13.0,0.2,0.0,0.5,0.25,0.0,hot,Vegan
Vanilla Steamer,Venti®,Hot Chocolate and Other,Coconut,,591 mL,270,11.0,11.0,0.0,0,200,41,0,40,1.0,0.0,0.0,0.0,0.0,0.0,hot,Vegan
White Hot Chocolate,Short,Hot Chocolate and Other,Nonfat,No Whip,236 mL,180,3.0,2.5,0.0,5,125,31,0,30,8.0,0.1,0.0,0.25,0.0,0.0,hot,Non Vegan
White Hot Chocolate,Short,Hot Chocolate and Other,Nonfat,Whip,236 mL,230,8.0,6.0,0.2,25,130,32,0,32,8.0,0.15,0.0,0.25,0.0,0.0,hot,Non Vegan
White Hot Chocolate,Short,Hot Chocolate and Other,Whole,No Whip,236 mL,210,6.0,4.0,0.1,15,135,30,0,30,8.0,0.1,0.02,0.25,0.0,0.0,hot,Non Vegan
White Hot Chocolate,Short,Hot Chocolate and Other,Whole,Whip,236 mL,260,11.0,7.0,0.3,35,140,32,0,31,8.0,0.15,0.02,0.25,0.0,0.0,hot,Non Vegan
White Hot Chocolate,Short,Hot Chocolate and Other,Whole,No Whip,236 mL,220,8.0,5.0,0.2,20,125,30,0,30,7.0,0.08,0.0,0.25,0.0,0.0,hot,Non Vegan
White Hot Chocolate,Short,Hot Chocolate and Other,Whole,Whip,236 mL,280,14.0,9.0,0.3,40,130,32,0,31,8.0,0.15,0.0,0.25,0.0,0.0,hot,Non Vegan
